added_at,id,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2019-01-09T23:25:27Z,7e1q4Q6ac7bZTXha7lzG5j,Specchio,Annalisa,0.0925,0.718,218013,0.523,0,6,0.375,-5.756,0,0.0407,119.981,0.194
2019-01-08T18:41:17Z,03CbQgFxnBFoaaVJTfEqMD,medicine,Bring Me The Horizon,0.00393,0.615,227265,0.858,0,0,0.0789,-3.3,1,0.0396,97.038,0.323
2019-01-05T00:39:28Z,3Ddp26y9i4gM0hvbvhq4kB,Where Did It Go?,Asking Alexandria,0.00535,0.493,193892,0.946,0,3,0.16,-4.009,0,0.238,140.094,0.211
2019-01-04T15:25:27Z,7GeC7Nb58zsPnlFSfF0HZU,Che cazzo ridi (feat. Trippie Redd),Fedez,0.0102,0.312,216368,0.704,0,1,0.198,-4.596,1,0.0503,149.653,0.544
2019-01-01T12:34:46Z,3msEg5smG9jEnPWbVRpwR0,The Night Last Night,Mark Ronson,0.164,0.668,264800,0.811,1.3e-05,0,0.215,-6.163,0,0.0534,124.272,0.538
2019-01-01T00:30:13Z,7dt6x5M1jzdTEt8oCbisTK,Better Now,Post Malone,0.354,0.68,231267,0.563,0,10,0.136,-5.843,1,0.0454,145.028,0.374
2018-12-29T16:07:43Z,5zsHmE2gO3RefVsPyw2e3T,What's Up Danger (with Black Caviar),Blackway,0.00363,0.701,222307,0.755,0.000795,2,0.121,-5.82,1,0.0417,95.036,0.116
2018-12-28T23:58:55Z,6RvRzl1YJTDnUvdOtV21IK,Wonderland,Taylor Swift,0.0438,0.42,245560,0.694,2e-05,8,0.19,-5.407,1,0.0504,183.883,0.204
2018-12-28T23:45:15Z,2KrOAg6FftbjgSKdd2a4rS,You Are In Love,Taylor Swift,0.707,0.575,267107,0.462,4.25e-05,2,0.0898,-8.958,1,0.0353,84.994,0.324
2018-12-24T16:37:33Z,3Dm3GCDQW7SaKhe6P2tyz3,Tsunami Blond,Taco Hemingway,0.429,0.906,176373,0.447,0,11,0.113,-9.413,0,0.225,120.032,0.575
2018-12-23T19:03:30Z,6S4vdF9ENvX8WN8PvJ6soA,"Heartless - Recorded At RAK Studios, London",Dermot Kennedy,0.226,0.444,224148,0.535,0,9,0.212,-7.051,1,0.055,88.033,0.158
2018-12-23T18:55:29Z,154J7EMKDUOVwD2hWGDNHU,Young & Free,Dermot Kennedy,0.0845,0.487,266766,0.63,0,8,0.109,-6.053,1,0.0432,153.131,0.156
2018-12-23T18:41:59Z,0OGNtqKkjI7FCE9HZ4Khgo,Power Over Me,Dermot Kennedy,0.0519,0.42,206960,0.843,0,9,0.106,-4.231,0,0.121,173.827,0.491
2018-12-20T11:29:03Z,0gP2wIzhyjlsxjidUekcqb,Modigliani,Taco Hemingway,0.439,0.722,230080,0.539,0,5,0.401,-8.615,0,0.111,142.978,0.212
2018-12-15T18:22:00Z,2olR8ajJu6H0B3KYW7QMP7,Lontano,Francesca Michielin,0.00963,0.646,186040,0.786,1.25e-05,11,0.141,-5.923,0,0.065,167.932,0.576
2018-12-14T21:39:08Z,04aQmJ2Bvd7gb65Af9ZNzC,Just Dance,Lady Gaga,0.026,0.823,241933,0.74,5.09e-05,1,0.181,-4.545,0,0.0313,118.993,0.734
2018-12-12T23:15:06Z,27rdGxbavYJeBphck5MZAF,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,0.00987,0.601,217467,0.794,1.36e-06,7,0.388,-5.844,0,0.0671,114.066,0.244
2018-12-10T11:03:20Z,4IDfVjI1TlB1UwlC01T4Bm,Decode - Twilight Soundtrack Version,Paramore,0.000705,0.282,261960,0.866,0.0055,10,0.101,-4.223,0,0.0588,163.987,0.277
2018-12-08T17:13:44Z,2hygc41DOo6dGocHEk6Jx1,Nero Bali,Elodie,0.017,0.638,183773,0.836,0,6,0.286,-5.756,0,0.0362,116.045,0.629
2018-12-08T13:33:52Z,1LBTZd2woeUSScyOqIFk8e,tutte le serie,GENTE,0.426,0.661,156750,0.821,0,9,0.148,-3.818,0,0.241,104.795,0.897
2018-12-01T01:27:17Z,4SDdeq8HUaKPUGiE4WMASH,Outside,Kartky,0.243,0.664,226909,0.664,0.000235,1,0.304,-7.94,0,0.254,104.942,0.386
2018-11-30T16:03:43Z,0xJUvgy78MDt6avGKpmOm3,Nagano 98,Kartky,0.162,0.75,180147,0.81,0,9,0.14,-7.043,0,0.161,120.033,0.541
2018-11-30T10:47:07Z,1hZxka9RAHlUsx2gJv9aRA,Mleko & miód,TACONAFIDE,0.737,0.749,207264,0.737,9.74e-05,8,0.102,-8.739,0,0.352,163.953,0.242
2018-11-29T15:02:09Z,5ihgFEYhrIxeGOBXW9T3bE,Wiosna,Organek,0.00332,0.384,202400,0.888,0.000364,11,0.151,-7.671,0,0.114,170.948,0.704
2018-11-29T14:18:30Z,0deQGmACWh8wZffIKGGhrg,Cicho - ciepło - jasno,BOWNIK,0.236,0.622,213861,0.607,0.000815,11,0.261,-8.071,0,0.0295,100.99,0.665
2018-11-27T22:57:35Z,1LPGwuFgIzbJoShfDdw7MY,Youth,Glass Animals,0.129,0.648,230693,0.718,0.00156,9,0.112,-7.765,0,0.0298,96.017,0.785
2018-11-27T22:14:14Z,6RumeAtSyiFZonidmi9eZM,Miłość Miłość,Krzysztof Zalewski,0.192,0.507,225667,0.543,1.61e-06,4,0.111,-8.272,0,0.0493,78.838,0.307
2018-11-27T09:25:43Z,1WjSgz6ntFIhRWJORVPbio,Nie Ma Fal,Dawid Podsiadło,0.0229,0.559,238107,0.727,0,5,0.118,-6.323,0,0.0301,163.001,0.726
2018-11-27T07:01:38Z,5w7mZbq88gwBHdcWQkRJQd,Dziki Brzeg,Flirtini,0.268,0.826,186836,0.274,0,4,0.113,-11.523,0,0.0633,118.047,0.24
2018-11-25T20:26:54Z,003eoIwxETJujVWmNFMoZy,Growing Pains,Alessia Cara,0.0822,0.353,193680,0.755,0,1,0.39,-6.276,0,0.733,191.153,0.437
2018-11-25T14:05:54Z,3FwWzOCkDwhu1RWTz3CSxJ,Nie Kłami,Dawid Podsiadło,0.667,0.646,195667,0.346,0,6,0.114,-9.352,0,0.0297,135.94,0.203
2018-11-25T10:24:04Z,2La7zH38lJ7MOkPZyMXgn8,Only You,Cheat Codes,0.0854,0.629,189440,0.742,0,4,0.0966,-4.774,0,0.115,108.033,0.252
2018-11-25T10:24:03Z,3QKI38J8BZcTTF1HusbUKh,Woman's World,Little Mix,0.144,0.456,217747,0.671,0,4,0.121,-5.159,0,0.0567,163.828,0.164
2018-11-25T10:09:50Z,1sDEgABSIKjzWccOBgCikW,Powiedz Mi To W Twarz,Zuza Jabłońska,0.139,0.865,182245,0.545,0,1,0.103,-4.721,1,0.0591,100.025,0.806
2018-11-24T12:30:20Z,2u8KG85xyQTLuVP0m0Nqw7,Who Wants To Live Forever - Remastered 2011,Queen,0.544,0.182,295333,0.388,0.00134,4,0.114,-8.672,0,0.0324,139.276,0.0392
